timestamp,note
2026-07-15 09:59:43,starting second day!
2026-07-15 10:13:45,"about to start, trying runall"
2026-07-15 10:19:07,the spectro took 4 minutes to work
2026-07-15 10:21:32,N2
2026-07-15 10:28:35,took time until RH got to 0 with N2
2026-07-15 10:30:17,"ambiamt, ready to flight 1"
2026-07-15 10:30:23,disconnecting
2026-07-15 10:51:11,done flight 1
2026-07-15 10:51:14,N2
2026-07-15 10:51:31,I forgot to turn on the PSDK during this flight
2026-07-15 10:54:29,done N2
2026-07-15 10:55:01,turning off
2026-07-15 11:18:20,turned on before flight 2
2026-07-15 11:32:05,N2
2026-07-15 11:34:36,The RH does not get to zero totally
2026-07-15 11:36:42,"Ambiant, moving to rc notes"
2026-07-15 11:56:30,N2 after flight 2
2026-07-15 12:00:07,ambiant
2026-07-15 12:03:20,had a N2 breach during this N2 session
2026-07-15 12:37:29,preparing for flight 3
2026-07-15 12:42:05,"the spectromoet worked after conencting to the wifi, by chance?"
2026-07-15 12:43:36,N2 before flight 3
2026-07-15 12:47:08,"ambiant, starting flight 3"
2026-07-15 13:06:40,N2 after flight 3
2026-07-15 13:09:49,ambiant
2026-07-15 13:38:24,preparing for flight 4
2026-07-15 13:42:10,N2
2026-07-15 13:46:01,ambiant before flight 4
2026-07-15 13:47:33,disconnecting for flight 4
2026-07-15 14:09:42,N2 after flight 4
2026-07-15 14:13:12,finished N2
2026-07-15 14:13:16,powering off
2026-07-15 14:44:42,preparing for flight 5
2026-07-15 14:45:04,started all sensors
2026-07-15 14:46:03,waiting for spectro
2026-07-15 14:50:34,opened hotspot
2026-07-15 14:51:05,looks like it something to do with the internet...
2026-07-15 14:51:49,N2 before flight 5
2026-07-15 14:57:37,moving to ambient and for flight no 5
2026-07-15 15:18:36,done flight 5
2026-07-15 15:18:39,N2
2026-07-15 15:23:51,finish powering off
2026-07-15 17:38:44,back in the lab doing reflectivity
2026-07-15 17:46:04,N2
2026-07-15 17:49:26,It is now clear that for some reason the spectrometer start to work only when the pi is connected to the internet
2026-07-15 17:53:40,He
2026-07-15 17:54:43,N2
2026-07-15 17:55:51,He
2026-07-15 17:57:02,N2
2026-07-15 17:58:11,He
2026-07-15 17:59:26,N2
2026-07-15 18:00:03,He
2026-07-15 18:00:36,N2
2026-07-15 18:01:10,He
2026-07-15 18:01:44,N2
2026-07-15 18:02:19,He
2026-07-15 18:02:57,N2
2026-07-15 18:05:37,done!
2026-07-15 18:06:10,turning off and downloading data
2026-07-15 18:12:01,test
