Timestamp,pressure,temp,rel_hum,hum_temp,date,time,longitude,latitude,altitude,sat
2026-01-12 11:26:34,1006.51,+2164,3.15,+2262,2015/10/18,00:20:29,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:35,1006.42,+2165,3.15,+2260,2015/10/18,00:20:30,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:36,1006.47,+2165,3.15,+2260,2015/10/18,00:20:31,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:37,1006.38,+2163,3.15,+2260,2015/10/18,00:20:32,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:38,1006.45,+2164,3.16,+2260,2015/10/18,00:20:33,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:39,1006.41,+2171,3.16,+2260,2015/10/18,00:20:34,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:40,1006.41,+2168,3.16,+2260,2015/10/18,00:20:35,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:41,1006.39,+2166,3.16,+2260,2015/10/18,00:20:36,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:42,1006.4,+2167,3.16,+2262,2015/10/18,00:20:37,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:43,1006.4,+2164,3.17,+2262,2015/10/18,00:20:38,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:44,1006.36,+2167,3.17,+2263,2015/10/18,00:20:39,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:45,1006.34,+2165,3.17,+2260,2015/10/18,00:20:40,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:46,1006.37,+2164,3.17,+2262,2015/10/18,00:20:41,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:47,1006.37,+2167,3.16,+2260,2015/10/18,00:20:42,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:48,1006.46,+2167,3.15,+2260,2015/10/18,00:20:43,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:49,1006.39,+2167,3.15,+2260,2015/10/18,00:20:44,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:50,1006.41,+2165,3.15,+2260,2015/10/18,00:20:45,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:51,1006.44,+2167,3.14,+2262,2015/10/18,00:20:46,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:52,1006.45,+2168,3.14,+2262,2015/10/18,00:20:47,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:53,1006.44,+2165,3.15,+2260,2015/10/18,00:20:48,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:54,1006.34,+2165,3.15,+2260,2015/10/18,00:20:49,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:55,1006.4,+2167,3.14,+2260,2015/10/18,00:20:50,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:56,1006.41,+2166,3.14,+2260,2015/10/18,00:20:51,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:57,1006.4,+2169,3.13,+2260,2015/10/18,00:20:52,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:58,1006.4,+2164,3.12,+2260,2015/10/18,00:20:53,+0000000000,+0000000000,-00017000,00
2026-01-12 11:26:59,1006.38,+2162,3.12,+2260,2015/10/18,00:20:54,+0000000000,+0000000000,-00017000,00
2026-01-12 11:27:00,1006.43,+2163,3.11,+2262,2015/10/18,00:20:55,+0000000000,+0000000000,-00017000,00
2026-01-12 11:27:01,1006.41,+2165,3.11,+2262,2015/10/18,00:20:56,+0000000000,+0000000000,-00017000,00
2026-01-12 11:27:02,1006.44,+2165,3.12,+2262,2015/10/18,00:20:57,+0000000000,+0000000000,-00017000,00
2026-01-12 11:27:03,1006.48,+2164,3.12,+2260,2015/10/18,00:20:58,+0000000000,+0000000000,-00017000,00
2026-01-12 11:27:04,1006.38,+2165,3.12,+2260,2015/10/18,00:20:59,+0000000000,+0000000000,-00017000,00
2026-01-12 11:27:05,1006.4,+2164,3.11,+2260,2015/10/18,00:21:00,+0000000000,+0000000000,-00017000,00
