Timestamp,ErrorNumber,ErrorInstance,ErrorParameter,ErrorText,LDD_ActualOutputCurrent,LDD_ActualOutputVoltage,LDD_ActualOutputCurrentRaw,LDD_ActualAnodeVoltage,LDD_ActualCathodeVoltage,LDD_NominalOutputCurrentRamp,TEC_TargetObjectTemperature,TEC_NominalObjectTemperatureRamp,TEC_ThermalPowerModelCurrent,TEC_ActualOutputCurrent,TEC_ActualOutputVoltage,TEC_ObjectTemperature,TEC_SinkTemperature,AnalogVoltageInputRawADC,AnalogVoltageInput,LaserPower,OutputLevel,DriverInputVoltage,Internal8V,Internal5V,Internal3V3,InternalMinus3V3,DeviceTemperature,PowerstageTemperature
2026-02-12 10:08:42,0,0,0,,1.40,3.60,30439,4.54,0.95,1.40,35.00,43.97,-1.00,-0.88,-1.23,43.97,43.26,1,0.00,0.00,1.00,12.10,7.89,5.00,3.20,-3.28,56.04,56.04
2026-02-12 10:08:42,0,0,0,,1.40,3.60,30445,4.54,0.95,1.40,35.00,43.97,-1.00,-1.00,-1.97,43.99,43.27,1,-0.00,0.00,1.00,12.10,7.90,5.00,3.20,-3.28,56.04,56.04
2026-02-12 10:08:43,0,0,0,,1.40,3.60,30443,4.54,0.94,1.40,35.00,43.97,-1.00,-1.00,-2.08,43.99,43.28,1,-0.00,0.00,1.00,12.10,7.89,5.00,3.20,-3.28,56.04,56.04
2026-02-12 10:08:43,0,0,0,,1.40,3.60,30447,4.54,0.94,1.40,35.00,43.97,-1.00,-1.00,-2.15,44.00,43.29,1,-0.00,0.00,1.00,12.09,7.89,5.00,3.20,-3.28,56.05,56.05
2026-02-12 10:08:43,0,0,0,,1.40,3.61,30447,4.54,0.95,1.40,35.00,43.97,-1.00,-1.00,-2.21,44.02,43.30,1,0.00,0.00,1.00,12.10,7.89,5.00,3.20,-3.28,56.05,56.05
2026-02-12 10:08:43,0,0,0,,1.40,3.61,30447,4.55,0.94,1.40,35.00,43.97,-1.00,-1.00,-2.25,44.03,43.31,2,-0.00,0.00,1.00,12.09,7.89,5.00,3.20,-3.28,56.05,56.05
2026-02-12 10:08:44,0,0,0,,1.40,3.61,30442,4.55,0.94,1.40,35.00,43.96,-0.34,-0.79,-1.36,44.05,43.32,1,-0.00,0.00,1.00,12.13,7.89,5.00,3.20,-3.28,56.05,56.05
2026-02-12 10:08:44,0,0,0,,1.40,3.62,30442,4.55,0.94,1.40,35.00,43.96,0.36,0.03,2.97,44.06,43.34,1,-0.00,0.00,1.00,12.11,7.89,4.99,3.20,-3.28,56.05,56.05
2026-02-12 10:08:44,0,0,0,,1.40,3.61,30452,4.55,0.94,1.40,35.00,43.96,0.84,0.70,5.18,44.09,43.35,1,0.00,0.00,1.00,12.05,7.90,5.00,3.20,-3.29,56.05,56.05
2026-02-12 10:08:44,0,0,0,,1.40,3.60,30465,4.54,0.95,1.40,35.00,43.96,1.00,1.00,6.57,44.13,43.38,2,0.00,0.00,1.00,12.04,7.89,5.00,3.20,-3.28,56.05,56.05
