merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll
2025-12-03 11:34:51,2025-12-03 11:34:50,1010.1,+2293,3.45,+2399,2015/10/18,02:05:21,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-03 11:34:52,2025-12-03 11:34:51,1010.2,+2292,3.45,+2400,2015/10/18,02:05:22,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:34:52,00.09,117,-00.07,00.04,00.03,23.44,37.90,1009.66,179.5,179.8,216
2025-12-03 11:34:53,2025-12-03 11:34:52,1010.11,+2295,3.45,+2400,2015/10/18,02:05:23,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:34:53,00.08,124,-00.06,00.04,00.03,23.54,37.93,1009.61,179.5,179.7,215
2025-12-03 11:34:54,2025-12-03 11:34:53,1010.17,+2289,3.44,+2399,2015/10/18,02:05:24,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:34:54,00.08,114,-00.07,00.03,00.02,23.57,37.89,1009.68,179.5,179.8,216
2025-12-03 11:34:55,2025-12-03 11:34:54,1010.19,+2292,3.44,+2399,2015/10/18,02:05:25,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:34:55,00.06,131,-00.04,00.04,00.02,23.57,37.88,1009.65,179.5,179.8,216
2025-12-03 11:34:56,2025-12-03 11:34:55,1010.15,+2292,3.45,+2400,2015/10/18,02:05:26,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:34:56,00.10,136,-00.06,00.06,00.05,23.58,37.87,1009.63,179.5,179.8,215
2025-12-03 11:34:57,2025-12-03 11:34:56,1010.19,+2290,3.44,+2399,2015/10/18,02:05:27,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:34:57,00.08,112,-00.07,00.03,00.04,23.61,37.95,1009.66,179.5,179.7,214
2025-12-03 11:34:58,2025-12-03 11:34:57,1010.13,+2287,3.44,+2399,2015/10/18,02:05:28,+0000000000,+0000000000,-00017000,00,2025-12-03 11:34:57,4.7,310.1,744.1,1.4539,12.2,0000.00000,00000.00000,0.0,0,03/12/25,11:36:04,2025-12-03 11:34:58,00.05,108,-00.05,00.02,00.02,23.55,37.89,1009.65,179.5,179.8,215
2025-12-03 11:34:59,2025-12-03 11:34:58,1010.17,+2289,3.44,+2399,2015/10/18,02:05:29,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:34:59,00.08,132,-00.06,00.05,00.03,23.46,37.87,1009.65,179.5,179.7,218
2025-12-03 11:35:00,2025-12-03 11:34:59,1010.15,+2287,3.45,+2400,2015/10/18,02:05:30,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:00,00.07,129,-00.05,00.04,00.03,23.42,37.86,1009.64,179.5,179.8,218
