merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll,spectro_Timestamp,spectro_peak_wavelength,spectro_max_intensity,spectro_total_points,spectro_status
2025-12-04 10:27:40,2025-12-04 10:27:39,1007.46,+2194,3.41,+2303,2015/10/18,00:20:42,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:40,00.04,174,-00.00,00.04,00.01,22.96,38.08,1006.88,-179.1,179.9,020,,,,,
2025-12-04 10:27:41,2025-12-04 10:27:40,1007.46,+2195,3.41,+2301,2015/10/18,00:20:43,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:41,00.03,091,-00.03,00.00,00.01,22.92,38.08,1006.89,-179.1,180.0,021,,,,,
2025-12-04 10:27:42,2025-12-04 10:27:41,1007.51,+2195,3.41,+2301,2015/10/18,00:20:44,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:42,00.04,023,-00.02,-00.04,00.01,22.82,38.09,1006.89,-179.0,179.9,015,,,,,
2025-12-04 10:27:43,2025-12-04 10:27:42,1007.46,+2198,3.41,+2303,2015/10/18,00:20:45,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:43,00.04,004,-00.00,-00.03,00.02,22.88,38.07,1006.87,-179.0,179.9,021,,,,,
2025-12-04 10:27:44,2025-12-04 10:27:43,1007.51,+2197,3.41,+2303,2015/10/18,00:20:46,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:44,00.04,073,-00.03,-00.01,00.02,22.96,38.09,1006.89,-179.0,179.9,014,,,,,
2025-12-04 10:27:45,2025-12-04 10:27:44,1007.54,+2199,3.4,+2303,2015/10/18,00:20:47,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:45,00.03,030,-00.02,-00.03,00.01,22.89,38.06,1006.87,-179.0,180.0,014,,,,,
2025-12-04 10:27:46,2025-12-04 10:27:45,1007.46,+2195,3.4,+2303,2015/10/18,00:20:48,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:46,00.12,050,-00.08,-00.07,00.05,23.03,38.09,1006.87,-179.0,180.0,027,,,,,
2025-12-04 10:27:47,2025-12-04 10:27:46,1007.45,+2194,3.4,+2303,2015/10/18,00:20:49,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:47,00.09,052,-00.06,-00.05,00.04,22.98,38.07,1006.92,-179.0,179.9,021,2025-12-04 10:27:47,627.2004,1954.00,2048,success
2025-12-04 10:27:48,2025-12-04 10:27:47,1007.52,+2196,3.4,+2303,2015/10/18,00:20:50,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:48,00.07,072,-00.06,-00.02,00.02,23.05,38.08,1006.91,-179.0,180.0,020,2025-12-04 10:27:48,627.2004,1939.00,2048,success
2025-12-04 10:27:49,2025-12-04 10:27:48,1007.52,+2195,3.4,+2303,2015/10/18,00:20:51,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:49,00.05,098,-00.05,00.01,00.00,23.15,38.08,1006.87,-179.0,179.9,019,2025-12-04 10:27:49,627.2004,1939.00,2048,success
2025-12-04 10:27:50,2025-12-04 10:27:49,1007.51,+2196,3.4,+2303,2015/10/18,00:20:52,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:50,00.06,071,-00.05,-00.02,00.01,22.99,38.10,1006.90,-179.1,180.0,017,2025-12-04 10:27:50,627.2004,1950.00,2048,success
2025-12-04 10:27:51,2025-12-04 10:27:50,1007.5,+2198,3.4,+2303,2015/10/18,00:20:53,+0000000000,+0000000000,-00017000,00,2025-12-04 10:27:50,18.4,308.7,741.8,1.4218,12.2,0000.00000,00000.00000,0.0,0,04/12/25,10:29:10,2025-12-04 10:27:51,00.04,012,-00.01,-00.03,00.03,22.93,38.10,1006.88,-179.0,180.0,025,2025-12-04 10:27:51,627.2004,1933.00,2048,success
2025-12-04 10:27:52,2025-12-04 10:27:51,1007.5,+2195,3.4,+2304,2015/10/18,00:20:54,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:52,00.06,069,-00.05,-00.02,00.03,22.71,38.08,1006.88,-179.0,180.0,024,,,,,
2025-12-04 10:27:53,2025-12-04 10:27:52,1007.41,+2196,3.4,+2303,2015/10/18,00:20:55,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:53,00.07,073,-00.06,-00.02,00.04,22.84,38.08,1006.87,-179.1,179.9,023,2025-12-04 10:27:52,627.2004,1944.00,2048,success
2025-12-04 10:27:54,2025-12-04 10:27:53,1007.48,+2195,3.4,+2303,2015/10/18,00:20:56,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:54,00.03,045,-00.02,-00.02,00.02,22.89,38.05,1006.88,-179.1,180.0,020,2025-12-04 10:27:53,627.2004,1945.00,2048,success
2025-12-04 10:27:55,2025-12-04 10:27:54,1007.48,+2195,3.4,+2303,2015/10/18,00:20:57,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:55,00.04,322,00.02,-00.02,00.02,22.61,38.11,1006.88,-179.0,179.9,017,2025-12-04 10:27:54,627.2004,1928.00,2048,success
2025-12-04 10:27:56,2025-12-04 10:27:55,1007.53,+2192,3.4,+2303,2015/10/18,00:20:58,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:56,00.07,217,00.04,00.05,-00.03,22.74,38.08,1006.89,-179.1,179.9,020,2025-12-04 10:27:55,627.2004,1925.00,2048,success
2025-12-04 10:27:57,2025-12-04 10:27:56,1007.46,+2191,3.4,+2304,2015/10/18,00:20:59,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:57,00.04,185,00.00,00.04,00.00,22.88,38.11,1006.88,-179.1,179.9,019,2025-12-04 10:27:57,627.2004,1933.00,2048,success
2025-12-04 10:27:58,2025-12-04 10:27:57,1007.51,+2194,3.39,+2303,2015/10/18,00:21:00,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:58,00.13,278,00.12,-00.02,00.02,23.06,38.08,1006.86,-179.0,179.9,017,2025-12-04 10:27:58,627.2004,1954.00,2048,success
2025-12-04 10:27:59,2025-12-04 10:27:58,1007.49,+2193,3.38,+2303,2015/10/18,00:21:01,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:59,00.10,261,00.10,00.02,00.00,22.92,38.07,1006.88,-179.0,179.9,023,2025-12-04 10:27:59,627.2004,1921.00,2048,success
2025-12-04 10:28:00,2025-12-04 10:27:59,1007.48,+2195,3.37,+2303,2015/10/18,00:21:02,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:00,00.06,024,-00.02,-00.05,00.02,22.86,38.05,1006.88,-179.0,180.0,020,2025-12-04 10:28:00,627.2004,1946.00,2048,success
2025-12-04 10:28:01,2025-12-04 10:28:00,1007.45,+2192,3.36,+2303,2015/10/18,00:21:03,+0000000000,+0000000000,-00017000,00,2025-12-04 10:28:00,19.8,308.7,742.2,1.4218,12.2,0000.00000,00000.00000,0.0,0,04/12/25,10:29:20,2025-12-04 10:28:01,00.10,115,-00.09,00.04,-00.03,22.77,37.98,1006.88,-179.1,180.0,018,2025-12-04 10:28:01,627.2004,1939.00,2048,success
2025-12-04 10:28:02,2025-12-04 10:28:01,1007.45,+2192,3.35,+2303,2015/10/18,00:21:04,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:02,00.13,098,-00.13,00.02,00.01,23.10,37.97,1006.88,-179.1,180.0,017,,,,,
2025-12-04 10:28:03,2025-12-04 10:28:02,1007.47,+2192,3.35,+2303,2015/10/18,00:21:05,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:03,00.01,316,00.01,-00.01,00.00,22.99,37.98,1006.89,-179.1,179.9,024,2025-12-04 10:28:02,627.2004,1928.00,2048,success
2025-12-04 10:28:04,2025-12-04 10:28:03,1007.51,+2195,3.34,+2303,2015/10/18,00:21:06,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:04,00.07,045,-00.04,-00.04,00.04,23.00,37.97,1006.90,-179.1,180.0,016,2025-12-04 10:28:03,627.2004,1952.00,2048,success
2025-12-04 10:28:05,2025-12-04 10:28:04,1007.5,+2195,3.34,+2303,2015/10/18,00:21:07,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:05,00.11,072,-00.10,-00.03,00.02,23.02,37.97,1006.85,-179.0,180.0,023,2025-12-04 10:28:04,627.2004,1936.00,2048,success
2025-12-04 10:28:06,2025-12-04 10:28:05,1007.44,+2191,3.34,+2304,2015/10/18,00:21:08,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:06,00.10,036,-00.06,-00.08,00.02,22.87,37.98,1006.87,-179.0,179.9,017,2025-12-04 10:28:05,627.2004,1936.00,2048,success
2025-12-04 10:28:07,2025-12-04 10:28:06,1007.43,+2193,3.34,+2304,2015/10/18,00:21:09,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:07,00.05,004,-00.00,-00.04,00.04,23.05,37.97,1006.89,-179.1,179.9,013,2025-12-04 10:28:07,627.2004,1929.00,2048,success
2025-12-04 10:28:08,2025-12-04 10:28:07,1007.5,+2193,3.35,+2304,2015/10/18,00:21:10,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:08,00.04,011,-00.01,-00.04,00.02,23.04,38.00,1006.89,-179.1,180.0,032,2025-12-04 10:28:08,627.2004,1968.00,2048,success
2025-12-04 10:28:09,2025-12-04 10:28:08,1007.45,+2196,3.36,+2304,2015/10/18,00:21:11,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:09,00.04,038,-00.02,-00.03,00.02,22.97,37.95,1006.88,-179.0,179.9,017,2025-12-04 10:28:09,627.2004,1928.00,2048,success
2025-12-04 10:28:10,2025-12-04 10:28:09,1007.46,+2195,3.36,+2303,2015/10/18,00:21:12,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:10,00.04,139,-00.02,00.03,00.03,22.87,37.95,1006.92,-179.0,180.0,009,2025-12-04 10:28:10,627.2004,1970.00,2048,success
2025-12-04 10:28:11,2025-12-04 10:28:10,1007.45,+2195,3.37,+2304,2015/10/18,00:21:13,+0000000000,+0000000000,-00017000,00,2025-12-04 10:28:10,19.9,308.7,741.8,1.4218,12.2,0000.00000,00000.00000,0.0,0,04/12/25,10:29:30,2025-12-04 10:28:11,00.05,091,-00.04,00.00,00.01,22.83,37.95,1006.88,-179.1,180.0,020,2025-12-04 10:28:11,627.2004,1926.00,2048,success
2025-12-04 10:28:12,2025-12-04 10:28:11,1007.45,+2192,3.37,+2303,2015/10/18,00:21:14,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:12,00.05,130,-00.04,00.03,00.02,22.88,37.93,1006.89,-179.1,179.9,022,2025-12-04 10:28:12,627.2004,1909.00,2048,success
2025-12-04 10:28:13,2025-12-04 10:28:12,1007.5,+2197,3.37,+2304,2015/10/18,00:21:15,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:13,00.04,136,-00.02,00.02,00.01,22.85,37.94,1006.88,-179.1,179.9,025,,,,,
2025-12-04 10:28:14,2025-12-04 10:28:13,1007.44,+2195,3.37,+2303,2015/10/18,00:21:16,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:14,00.12,073,-00.11,-00.03,00.01,22.85,37.92,1006.88,-179.1,180.0,020,2025-12-04 10:28:13,627.2004,1959.00,2048,success
2025-12-04 10:28:15,2025-12-04 10:28:14,1007.5,+2195,3.37,+2304,2015/10/18,00:21:17,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:15,00.14,077,-00.13,-00.03,00.02,22.97,37.95,1006.90,-179.1,180.0,018,2025-12-04 10:28:14,627.2004,1951.00,2048,success
2025-12-04 10:28:16,2025-12-04 10:28:15,1007.51,+2197,3.37,+2304,2015/10/18,00:21:18,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:16,00.15,075,-00.15,-00.04,00.00,22.87,37.94,1006.87,-179.1,180.0,022,2025-12-04 10:28:15,627.2004,1943.00,2048,success
2025-12-04 10:28:17,2025-12-04 10:28:16,1007.44,+2198,3.37,+2304,2015/10/18,00:21:19,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:17,00.10,078,-00.10,-00.02,00.00,22.97,37.95,1006.87,-179.0,179.9,022,2025-12-04 10:28:17,627.2004,1942.00,2048,success
2025-12-04 10:28:18,2025-12-04 10:28:17,1007.48,+2196,3.37,+2305,2015/10/18,00:21:20,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:18,00.20,073,-00.20,-00.06,00.00,22.99,37.95,1006.87,-179.0,179.9,020,2025-12-04 10:28:18,627.2004,1943.00,2048,success
2025-12-04 10:28:19,2025-12-04 10:28:18,1007.46,+2197,3.37,+2304,2015/10/18,00:21:21,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:19,00.18,082,-00.18,-00.02,-00.01,23.02,37.92,1006.87,-179.0,179.9,015,2025-12-04 10:28:19,627.2004,1923.00,2048,success
2025-12-04 10:28:20,2025-12-04 10:28:19,1007.43,+2198,3.37,+2304,2015/10/18,00:21:22,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:20,00.10,074,-00.09,-00.03,-00.02,22.80,37.98,1006.89,-179.1,179.9,016,2025-12-04 10:28:20,627.2004,1949.00,2048,success
2025-12-04 10:28:21,2025-12-04 10:28:20,1007.49,+2197,3.37,+2304,2015/10/18,00:21:23,+0000000000,+0000000000,-00017000,00,2025-12-04 10:28:20,20.4,308.7,742.4,1.4218,12.2,0000.00000,00000.00000,0.0,0,04/12/25,10:29:40,2025-12-04 10:28:21,00.05,108,-00.05,00.02,00.00,22.86,37.94,1006.88,-179.1,180.0,023,2025-12-04 10:28:21,627.2004,1932.00,2048,success
2025-12-04 10:28:22,2025-12-04 10:28:21,1007.51,+2195,3.37,+2304,2015/10/18,00:21:24,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:22,00.03,054,-00.02,-00.02,00.01,22.75,37.96,1006.87,-179.0,180.0,019,2025-12-04 10:28:22,627.2004,1935.00,2048,success
2025-12-04 10:28:23,2025-12-04 10:28:22,1007.44,+2195,3.37,+2304,2015/10/18,00:21:25,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:23,00.05,073,-00.04,-00.01,00.03,23.05,37.92,1006.90,-179.0,180.0,019,,,,,
2025-12-04 10:28:24,2025-12-04 10:28:23,1007.42,+2193,3.37,+2304,2015/10/18,00:21:26,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:24,00.02,138,-00.01,00.01,00.02,23.02,37.97,1006.89,-179.1,179.9,022,2025-12-04 10:28:23,627.2004,1940.00,2048,success
2025-12-04 10:28:25,2025-12-04 10:28:24,1007.42,+2193,3.37,+2305,2015/10/18,00:21:27,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:25,00.02,269,00.02,00.00,00.01,23.04,37.95,1006.88,-179.0,179.9,021,2025-12-04 10:28:24,418.0962,2053.00,2048,success
2025-12-04 10:28:26,2025-12-04 10:28:25,1007.47,+2193,3.36,+2305,2015/10/18,00:21:28,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:26,00.06,192,00.01,00.06,-00.01,22.77,37.97,1006.90,-179.0,180.0,027,2025-12-04 10:28:25,418.0962,2051.00,2048,success
2025-12-04 10:28:27,2025-12-04 10:28:26,1007.5,+2196,3.35,+2304,2015/10/18,00:21:29,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:27,00.05,202,00.01,00.04,00.03,23.16,37.92,1006.87,-179.0,179.9,023,2025-12-04 10:28:26,418.0962,2063.00,2048,success
2025-12-04 10:28:28,2025-12-04 10:28:27,1007.48,+2193,3.35,+2304,2015/10/18,00:21:30,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:28,00.06,172,-00.01,00.06,00.02,23.09,37.89,1006.89,-179.0,180.0,022,2025-12-04 10:28:28,418.0962,2058.00,2048,success
2025-12-04 10:28:29,2025-12-04 10:28:28,1007.49,+2195,3.35,+2305,2015/10/18,00:21:31,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:29,00.05,108,-00.04,00.01,00.01,23.11,37.90,1006.85,-179.0,180.0,022,2025-12-04 10:28:29,418.0962,2043.00,2048,success
2025-12-04 10:28:30,2025-12-04 10:28:29,1007.53,+2196,3.35,+2304,2015/10/18,00:21:32,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:30,00.04,096,-00.03,00.00,00.03,22.99,37.86,1006.90,-179.0,180.0,022,2025-12-04 10:28:30,418.0962,2050.00,2048,success
2025-12-04 10:28:31,2025-12-04 10:28:30,1007.46,+2196,3.34,+2304,2015/10/18,00:21:33,+0000000000,+0000000000,-00017000,00,2025-12-04 10:28:30,20.1,308.7,741.0,1.4219,12.2,0000.00000,00000.00000,0.0,0,04/12/25,10:29:50,2025-12-04 10:28:31,00.07,080,-00.07,-00.01,00.00,22.95,37.85,1006.90,-179.0,179.9,025,2025-12-04 10:28:31,418.0962,2055.00,2048,success
