merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll,spectro_Timestamp,spectro_peak_wavelength,spectro_max_intensity,spectro_mean_intensity,spectro_std_intensity,spectro_total_points,spectro_status
2025-12-04 12:50:42,2025-12-04 12:50:41,1005.86,+2323,3.43,+2441,2015/10/18,02:43:44,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:42,00.01,228,00.01,00.01,-00.00,23.67,36.33,1005.29,-179.1,179.9,012,,,,,,,
2025-12-04 12:50:43,2025-12-04 12:50:42,1005.85,+2326,3.43,+2441,2015/10/18,02:43:45,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:43,00.03,086,-00.03,-00.00,00.01,23.77,36.34,1005.30,-179.0,179.8,024,,,,,,,
2025-12-04 12:50:44,2025-12-04 12:50:43,1005.82,+2331,3.43,+2441,2015/10/18,02:43:46,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:44,00.07,053,-00.05,-00.04,00.02,23.87,36.35,1005.30,-179.0,179.9,019,,,,,,,
2025-12-04 12:50:45,2025-12-04 12:50:44,1005.8,+2325,3.43,+2441,2015/10/18,02:43:47,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:45,00.05,053,-00.04,-00.03,00.01,23.61,36.33,1005.30,-179.0,179.9,019,,,,,,,
2025-12-04 12:50:46,2025-12-04 12:50:45,1005.86,+2323,3.43,+2441,2015/10/18,02:43:48,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:46,00.08,074,-00.07,-00.02,00.04,23.77,36.33,1005.33,-179.0,179.9,022,,,,,,,
2025-12-04 12:50:47,2025-12-04 12:50:46,1005.87,+2326,3.43,+2441,2015/10/18,02:43:49,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:47,00.06,064,-00.05,-00.02,00.01,23.91,36.35,1005.34,-179.0,179.9,024,,,,,,,
2025-12-04 12:50:48,2025-12-04 12:50:47,1005.88,+2327,3.43,+2441,2015/10/18,02:43:50,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:48,00.08,065,-00.07,-00.03,00.02,23.72,36.36,1005.29,-179.0,179.9,020,,,,,,,
2025-12-04 12:50:49,2025-12-04 12:50:48,1005.9,+2327,3.42,+2441,2015/10/18,02:43:51,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:49,00.08,073,-00.07,-00.02,00.01,23.83,36.37,1005.31,-179.0,179.9,020,,,,,,,
2025-12-04 12:50:50,2025-12-04 12:50:49,1005.9,+2325,3.42,+2441,2015/10/18,02:43:52,+0000000000,+0000000000,-00017000,00,2025-12-04 12:50:50,33.8,310.0,739.7,1.4156,12.2,0000.00000,00000.00000,0.0,0,04/12/25,12:52:10,2025-12-04 12:50:50,00.07,077,-00.06,-00.02,00.02,23.72,36.36,1005.29,-179.0,179.9,028,,,,,,,
2025-12-04 12:50:51,2025-12-04 12:50:50,1005.84,+2328,3.43,+2441,2015/10/18,02:43:53,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:51,00.07,078,-00.07,-00.01,00.01,23.68,36.38,1005.27,-179.0,179.9,017,,,,,,,
2025-12-04 12:50:52,2025-12-04 12:50:51,1005.84,+2326,3.42,+2441,2015/10/18,02:43:54,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:52,00.08,086,-00.08,-00.01,-00.00,23.60,36.38,1005.31,-179.0,179.9,032,,,,,,,
2025-12-04 12:50:53,2025-12-04 12:50:52,1005.92,+2325,3.43,+2441,2015/10/18,02:43:55,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:53,00.06,037,-00.04,-00.05,00.00,23.83,36.36,1005.31,-179.0,179.9,020,,,,,,,
2025-12-04 12:50:54,2025-12-04 12:50:53,1005.89,+2329,3.43,+2441,2015/10/18,02:43:56,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:54,00.07,065,-00.07,-00.03,00.02,23.93,36.40,1005.29,-179.0,179.9,016,,,,,,,
2025-12-04 12:50:55,2025-12-04 12:50:54,1005.89,+2325,3.43,+2442,2015/10/18,02:43:57,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:55,00.05,063,-00.04,-00.02,00.01,23.89,36.39,1005.32,-179.0,179.9,022,,,,,,,
2025-12-04 12:50:56,2025-12-04 12:50:55,1005.88,+2327,3.43,+2441,2015/10/18,02:43:58,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:56,00.05,065,-00.05,-00.02,00.02,23.99,36.36,1005.32,-179.0,179.9,018,,,,,,,
2025-12-04 12:50:57,2025-12-04 12:50:56,1005.85,+2325,3.42,+2442,2015/10/18,02:43:59,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:57,00.07,055,-00.06,-00.04,00.01,23.88,36.38,1005.34,-179.0,179.9,026,,,,,,,
2025-12-04 12:50:58,2025-12-04 12:50:57,1005.88,+2323,3.43,+2442,2015/10/18,02:44:00,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:58,00.05,071,-00.04,-00.01,00.03,23.96,36.36,1005.30,-179.0,179.9,013,,,,,,,
2025-12-04 12:50:59,2025-12-04 12:50:58,1005.88,+2323,3.43,+2442,2015/10/18,02:44:01,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 12:50:59,00.04,066,-00.04,-00.02,00.02,23.86,36.34,1005.29,-179.0,179.9,019,,,,,,,
