merge_timestamp,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll
2026-01-13 16:24:25,2026-01-13 16:24:25,00.05,106,-00.05,00.01,00.02,22.05,39.40,1007.67,-180.0,-179.7,288
2026-01-13 16:24:26,2026-01-13 16:24:26,00.06,109,-00.05,00.02,00.03,22.06,39.39,1007.66,-180.0,-179.8,289
2026-01-13 16:24:27,2026-01-13 16:24:27,00.07,102,-00.06,00.01,00.02,22.02,39.42,1007.66,-180.0,-179.7,289
2026-01-13 16:24:28,2026-01-13 16:24:28,00.06,091,-00.06,00.00,00.02,22.01,39.38,1007.63,-180.0,-179.8,290
2026-01-13 16:24:29,2026-01-13 16:24:29,00.06,103,-00.05,00.01,00.03,22.07,39.38,1007.65,-179.9,-179.8,289
2026-01-13 16:24:30,2026-01-13 16:24:30,00.06,089,-00.05,-00.00,00.02,22.18,39.41,1007.66,-179.9,-179.8,289
2026-01-13 16:24:31,2026-01-13 16:24:31,00.06,100,-00.05,00.01,00.02,22.26,39.37,1007.62,-180.0,-179.7,287
2026-01-13 16:24:32,2026-01-13 16:24:32,00.05,070,-00.04,-00.02,00.03,22.21,39.36,1007.60,-180.0,-179.8,291
2026-01-13 16:24:33,2026-01-13 16:24:33,00.06,109,-00.05,00.02,00.02,22.13,39.37,1007.61,-180.0,-179.8,291
2026-01-13 16:24:34,2026-01-13 16:24:34,00.06,110,-00.05,00.02,00.02,22.12,39.36,1007.63,-180.0,-179.7,289
2026-01-13 16:24:35,2026-01-13 16:24:35,00.07,096,-00.06,00.01,00.01,22.12,39.41,1007.66,-180.0,-179.7,290
2026-01-13 16:24:36,2026-01-13 16:24:36,00.06,101,-00.06,00.01,00.02,22.23,39.39,1007.62,-180.0,-179.8,288
2026-01-13 16:24:37,2026-01-13 16:24:37,00.07,100,-00.06,00.01,00.03,22.24,39.39,1007.62,-180.0,-179.8,289
2026-01-13 16:24:38,2026-01-13 16:24:38,00.08,074,-00.07,-00.02,00.03,22.19,39.34,1007.61,-180.0,-179.7,289
2026-01-13 16:24:39,2026-01-13 16:24:39,00.08,099,-00.08,00.01,00.03,22.23,39.39,1007.65,-180.0,-179.8,289
2026-01-13 16:24:40,2026-01-13 16:24:40,00.08,095,-00.07,00.01,00.03,22.20,39.39,1007.64,-180.0,-179.7,290
2026-01-13 16:24:41,2026-01-13 16:24:41,00.05,106,-00.05,00.01,00.01,22.18,39.35,1007.64,-180.0,-179.8,290
2026-01-13 16:24:42,2026-01-13 16:24:42,00.05,105,-00.05,00.01,00.01,22.07,39.37,1007.64,-180.0,-179.7,289
2026-01-13 16:24:43,2026-01-13 16:24:43,00.06,103,-00.05,00.01,00.03,22.05,39.39,1007.64,-180.0,-179.8,293
2026-01-13 16:24:44,2026-01-13 16:24:44,00.05,126,-00.04,00.03,00.02,22.08,39.40,1007.63,-180.0,-179.8,289
2026-01-13 16:24:45,2026-01-13 16:24:45,00.03,107,-00.02,00.01,00.02,22.13,39.36,1007.65,-179.9,-179.7,288
2026-01-13 16:24:46,2026-01-13 16:24:46,00.05,112,-00.04,00.02,00.03,22.11,39.38,1007.69,-180.0,-179.8,291
2026-01-13 16:24:47,2026-01-13 16:24:47,00.03,107,-00.02,00.01,00.02,22.12,39.35,1007.65,-180.0,-179.7,290
2026-01-13 16:24:48,2026-01-13 16:24:48,00.05,109,-00.04,00.01,00.03,22.12,39.34,1007.65,-180.0,-179.8,288
2026-01-13 16:24:49,2026-01-13 16:24:49,00.04,107,-00.04,00.01,00.02,22.10,39.36,1007.63,-180.0,-179.8,288
2026-01-13 16:24:50,2026-01-13 16:24:50,00.07,091,-00.05,00.00,00.05,22.09,39.33,1007.65,-179.9,-179.8,291
2026-01-13 16:24:51,2026-01-13 16:24:51,00.04,091,-00.03,00.00,00.02,22.09,39.37,1007.64,-180.0,-179.8,286
2026-01-13 16:24:52,2026-01-13 16:24:52,00.04,111,-00.03,00.01,00.03,22.10,39.34,1007.64,-180.0,-179.8,290
2026-01-13 16:24:53,2026-01-13 16:24:53,00.03,049,-00.02,-00.01,00.02,22.12,39.35,1007.63,-180.0,-179.7,288
2026-01-13 16:24:54,2026-01-13 16:24:54,00.04,088,-00.04,-00.00,00.02,22.10,39.36,1007.64,-179.9,-179.7,287
2026-01-13 16:24:55,2026-01-13 16:24:55,00.06,088,-00.06,-00.00,00.03,22.15,39.34,1007.64,-180.0,-179.8,292
2026-01-13 16:24:56,2026-01-13 16:24:56,00.11,093,-00.10,00.01,00.03,22.15,39.31,1007.63,-179.9,-179.8,290
2026-01-13 16:24:57,2026-01-13 16:24:57,00.10,086,-00.09,-00.01,00.03,22.30,39.35,1007.62,-180.0,-179.8,291
2026-01-13 16:24:58,2026-01-13 16:24:58,00.10,084,-00.09,-00.01,00.03,22.27,39.35,1007.68,-180.0,-179.8,287
2026-01-13 16:24:59,2026-01-13 16:24:59,00.10,111,-00.09,00.03,00.03,22.21,39.38,1007.63,-180.0,-179.8,287
2026-01-13 16:25:00,2026-01-13 16:25:00,00.08,101,-00.08,00.02,00.00,21.91,39.35,1007.63,-180.0,-179.8,289
