merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll,spectro_Timestamp,spectro_peak_wavelength,spectro_max_intensity,spectro_mean_intensity,spectro_std_intensity,spectro_total_points,spectro_status,partector2pro_Timestamp,partector2pro_time_since_start_s,partector2pro_number_cm3,partector2pro_diameter_nm,partector2pro_ldsa_um2_cm3,partector2pro_total_surface_um2_cm3,partector2pro_mass_ug_m3,partector2pro_gsd,partector2pro_charger_current_nA,partector2pro_charger_hv_V,partector2pro_precipitator_voltage_V,partector2pro_temperature_C,partector2pro_rh_percent,partector2pro_pressure_mbar,partector2pro_flow_lpm,partector2pro_battery_V,partector2pro_pump_current_mA,partector2pro_status,partector2pro_internal_value,partector2pro_solution_steps,partector2pro_bin1_dN_dlogD,partector2pro_bin2_dN_dlogD,partector2pro_bin3_dN_dlogD,partector2pro_bin4_dN_dlogD,partector2pro_bin5_dN_dlogD,partector2pro_bin6_dN_dlogD,partector2pro_bin7_dN_dlogD,partector2pro_bin8_dN_dlogD,partector2pro_em_amp1_mV,partector2pro_em_amp2_mV,partector2pro_em_amp3_mV,partector2pro_em_amp4_mV,partector2pro_em_amp5_mV
2026-03-16 09:13:59,2026-03-16 09:13:59,1005.27,+2367,3.41,+2476,2026/04/15,08:18:32,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:13:59,00.07,238,00.05,00.03,00.04,24.43,35.98,1004.43,179.6,-179.6,203,2026-03-16 09:13:58,627.2004,2204.00,1589.68,27.22,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:00,2026-03-16 09:14:00,1005.3,+2363,3.41,+2475,2026/04/15,08:18:33,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:00,00.05,293,00.03,-00.01,00.03,24.06,35.96,1004.41,179.6,-179.6,188,2026-03-16 09:14:00,627.2004,2209.00,1589.89,27.28,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:01,2026-03-16 09:14:01,1005.26,+2366,3.41,+2475,2026/04/15,08:18:34,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:01,00.07,264,00.06,00.01,00.03,24.01,35.96,1004.39,179.6,-179.6,198,2026-03-16 09:14:00,627.2004,2210.00,1590.01,26.94,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:02,2026-03-16 09:14:02,1005.29,+2369,3.41,+2475,2026/04/15,08:18:35,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:02,00.06,264,00.06,00.01,00.03,24.11,35.98,1004.42,179.6,-179.7,198,2026-03-16 09:14:02,627.2004,2221.00,1589.12,27.23,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:03,2026-03-16 09:14:03,1005.28,+2369,3.41,+2476,2026/04/15,08:18:36,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:03,00.06,284,00.05,-00.01,00.03,23.95,35.97,1004.39,179.6,-179.6,201,2026-03-16 09:14:03,627.2004,2190.00,1588.80,27.07,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:04,2026-03-16 09:14:04,1005.23,+2367,3.41,+2475,2026/04/15,08:18:37,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:04,00.09,309,00.06,-00.04,00.05,24.01,35.97,1004.41,179.6,-179.6,204,2026-03-16 09:14:03,627.2004,2209.00,1589.17,27.32,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:05,2026-03-16 09:14:05,1005.24,+2364,3.4,+2475,2026/04/15,08:18:38,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:05,00.08,338,00.02,-00.05,00.06,24.02,35.97,1004.44,179.6,-179.6,193,2026-03-16 09:14:05,627.2004,2201.00,1589.23,26.96,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:06,2026-03-16 09:14:06,1005.25,+2361,3.4,+2475,2026/04/15,08:18:39,+0000000000,+0000000000,-00017000,00,2026-03-16 09:14:06,3.4,310.6,739.9,1.6640,12.2,0000.00000,00000.00000,0.0,0,15/04/26,10:36:07,2026-03-16 09:14:06,00.08,297,00.07,-00.03,00.04,23.91,35.97,1004.42,179.6,-179.6,213,2026-03-16 09:14:06,627.2004,2214.00,1588.47,27.35,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:07,2026-03-16 09:14:07,1005.25,+2356,3.4,+2474,2026/04/15,08:18:40,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:07,00.05,310,00.04,-00.03,00.02,23.72,36.02,1004.40,179.6,-179.6,199,2026-03-16 09:14:06,627.2004,2183.00,1588.12,27.90,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:08,2026-03-16 09:14:08,1005.31,+2356,3.4,+2475,2026/04/15,08:18:41,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:08,00.07,322,00.04,-00.05,00.03,23.81,35.99,1004.41,179.6,-179.6,201,2026-03-16 09:14:08,627.2004,2210.00,1588.78,28.51,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:09,2026-03-16 09:14:09,1005.29,+2350,3.4,+2475,2026/04/15,08:18:42,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:09,00.07,312,00.04,-00.04,00.03,23.75,36.00,1004.41,179.6,-179.6,186,2026-03-16 09:14:09,627.2004,2214.00,1588.75,28.47,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:10,2026-03-16 09:14:10,1005.29,+2351,3.41,+2474,2026/04/15,08:18:43,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:10,00.08,333,00.03,-00.06,00.04,23.86,35.97,1004.41,179.6,-179.6,186,2026-03-16 09:14:09,627.2004,2197.00,1588.30,28.26,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:11,2026-03-16 09:14:11,1005.27,+2354,3.41,+2474,2026/04/15,08:18:44,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:11,00.08,305,00.06,-00.04,00.05,23.72,35.99,1004.41,179.6,-179.6,204,2026-03-16 09:14:11,627.2004,2229.00,1588.40,28.50,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:12,2026-03-16 09:14:12,1005.29,+2361,3.41,+2474,2026/04/15,08:18:45,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:12,00.09,304,00.07,-00.05,00.03,23.54,35.97,1004.42,179.6,-179.6,213,2026-03-16 09:14:11,627.2004,2192.00,1588.20,27.96,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
