Timestamp,time_since_start_s,charger_diffusion_current_nA,charger_high_voltage_V,electrometer1_mV,electrometer2_mV,electrometer1_amplitude_mV,electrometer2_amplitude_mV,temperature_C,relative_humidity_percent,status,precipitator_voltage_V,battery_voltage_V,flow_lpm,LDSA_um2_cm3,diameter_nm,number_1_cm3,orifice_pressure_Pa,absolute_pressure_mbar
2026-01-12 14:48:43,13277.0,0.0,297.0,0.87,0.87,1.506,1.156,24.9,33.0,0.0,98.0,4.18,0.5,9.6,36.4,3680.0,4711.0,1006.0
2026-01-12 14:48:45,13278.0,1.99,3353.0,0.94,-0.12,1.481,1.229,24.9,33.0,0.0,99.0,4.2,0.5,9.4,36.4,3680.0,4699.0,1006.0
2026-01-12 14:48:45,13279.0,0.0,297.0,0.56,0.5,1.494,1.1,24.9,33.0,0.0,362.0,4.2,0.5,9.5,42.3,3319.0,4701.0,1006.0
2026-01-12 14:48:46,13280.0,1.99,3353.0,1.44,-0.19,1.515,1.032,24.8,34.0,0.0,361.0,4.2,0.5,9.7,42.3,3319.0,4705.0,1006.0
2026-01-12 14:48:47,13281.0,0.0,297.0,0.62,0.0,1.543,0.891,24.8,34.0,0.0,362.0,4.2,0.5,9.8,42.3,3319.0,4696.0,1006.0
2026-01-12 14:48:48,13282.0,2.01,3352.0,1.12,0.19,1.538,0.769,24.8,34.0,0.0,362.0,4.2,0.5,9.8,42.3,3319.0,4733.0,1006.0
2026-01-12 14:48:49,13283.0,0.0,298.0,0.31,0.75,1.539,0.808,24.8,33.0,0.0,361.0,4.2,0.5,9.8,42.3,3319.0,4698.0,1006.0
2026-01-12 14:48:50,13284.0,1.99,3352.0,1.37,0.31,1.552,0.797,24.8,33.0,0.0,362.0,4.2,0.5,9.9,42.3,3319.0,4700.0,1006.0
2026-01-12 14:48:51,13285.0,0.0,297.0,-0.06,0.75,1.51,0.757,24.8,33.0,0.0,721.0,4.2,0.5,9.6,36.6,3985.0,4706.0,1006.0
2026-01-12 14:48:52,13286.0,1.99,3355.0,1.19,-0.12,1.514,0.714,24.8,33.0,0.0,721.0,4.2,0.5,9.6,36.6,3985.0,4705.0,1006.0
2026-01-12 14:48:53,13287.0,0.0,294.0,0.81,0.37,1.493,0.564,24.8,33.0,0.0,721.0,4.2,0.5,9.5,36.6,3985.0,4702.0,1006.0
2026-01-12 14:48:54,13288.0,1.99,3352.0,1.31,0.06,1.431,0.479,24.8,33.0,0.0,719.0,4.2,0.499,9.1,36.6,3985.0,4706.0,1006.0
2026-01-12 14:48:55,13289.0,0.0,293.0,0.44,0.56,1.428,0.464,24.8,34.0,0.0,721.0,4.2,0.5,9.1,36.6,3985.0,4701.0,1006.0
2026-01-12 14:48:56,13290.0,1.98,3353.0,1.12,0.31,1.425,0.442,24.8,34.0,0.0,720.0,4.19,0.5,9.1,36.6,3985.0,4702.0,1005.0
2026-01-12 14:48:57,13291.0,0.0,300.0,0.12,0.12,1.471,0.394,24.8,34.0,0.0,1200.0,4.2,0.5,9.4,32.4,4124.0,4706.0,1005.0
2026-01-12 14:48:58,13292.0,2.0,3352.0,1.12,0.0,1.454,0.296,24.8,34.0,0.0,1200.0,4.2,0.5,9.3,32.4,4124.0,4702.0,1005.0
2026-01-12 14:48:59,13293.0,0.0,298.0,0.37,0.19,1.459,0.209,24.8,34.0,0.0,1200.0,4.2,0.5,9.3,32.4,4124.0,4696.0,1006.0
2026-01-12 14:49:00,13294.0,2.0,3355.0,1.5,-0.06,1.519,0.155,24.8,34.0,0.0,1200.0,4.2,0.5,9.7,32.4,4124.0,4698.0,1006.0
2026-01-12 14:49:01,13295.0,0.0,297.0,0.62,0.25,1.52,0.138,24.8,33.0,0.0,1200.0,4.19,0.5,9.7,32.4,4124.0,4704.0,1006.0
